,,#NAME?,,,,Dances,157,10,31,2396,,,,,,,,,,,,,,
Colony,Date,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
7B,7/20/22,FYY,12,50,14,23,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FYY,18,55,20,5,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FYY,27,24,28,28,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,FYY,32,3,32,33,1,,,4,4,,,,,,,,,,,,,
7B,7/20/22,FYY,36,10,37,21,1,,1,8,8,,,,,,,,,,,,,
7B,7/20/22,FYY,41,1,42,4,0,,2,0,,,,,,,,,,,,,,
7B,7/20/22,FYY,45,24,45,41,1,,,4,4,,,,,,,,,,,,,
7B,7/20/22,FYY,49,1,49,45,1,,,16,16,,,,,,,,,,,,,
7B,7/20/22,FYY,53,16,54,59,1,,,24,2,1,5,10,1,4,1,,,,,,,
7B,7/20/22,FYY,57,53,59,9,1,,,23,1,3,19,,,,,,,,,,,
7B,7/20/22,GGW,13,52,14,48,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GGW,18,38,19,22,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GGW,22,29,23,13,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GGW,26,4,26,55,1,"very subtle waggles, had to slow down video",,4,4,,,,,,,,,,,,,
7B,7/20/22,GGW,30,29,31,9,0,,1,0,,,,,,,,,,,,,,
7B,7/20/22,GGW,34,35,35,22,1,,,8,1,2,1,4,,,,,,,,,,
7B,7/20/22,GGW,38,10,39,3,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GGW,42,17,43,9,0,,3,0,,,,,,,,,,,,,,
7B,7/20/22,GGW,46,6,47,54,1,,,34,11,23,,,,,,,,,,,,
7B,7/20/22,GGW,50,59,51,39,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GGW,54,56,57,49,1,first bouts on glass,,54,2,1,2,18,19,1,11,,,,,,,
7B,7/20/22,GP,35,2,35,54,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GP,40,32,41,4,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GP-a,7,52,8,53,0,looked excited but no clear waggle run or circuit,,0,,,,,,,,,,,,,,
7B,7/20/22,GP-a,12,43,13,18,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GP-a,17,18,17,59,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GP-a,21,47,22,32,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GP-a,27,0,27,47,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GP-a,37,19,38,28,0,put her head into multiple cells,,0,,,,,,,,,,,,,,
7B,7/20/22,GP-a,43,5,43,46,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GP,45,6,45,35,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GWW,45,6,45,35,0,!!!,,0,,,,,,,,,,,,,,
7B,7/20/22,GY,22,6,23,29,1,,,14,2,7,5,,,,,,,,,,,
7B,7/20/22,GY,27,32,28,52,1,some subtle waggles,,17,4,13,,,,,,,,,,,,
7B,7/20/22,GY,29,55,30,32,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GY,34,28,35,18,1,subtle waggles,1,6,5,1,,,,,,,,,,,,
7B,7/20/22,GY,40,21,41,30,1,,3,12,5,7,,,,,,,,,,,,
7B,7/20/22,GY,46,35,48,13,1,,,18,18,,,,,,,,,,,,,
7B,7/20/22,GY,49,45,50,34,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,GY,53,43,55,40,1,,,39,3,20,11,5,,,,,,,,,,
7B,7/20/22,GY,56,13,56,55,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OB,8,12,9,44,1,somewhat ambiguous but I think there was one clear waggle run,2,1,1,,,,,,,,,,,,,
7B,7/20/22,OB,14,11,15,37,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OB,22,13,23,43,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OB,30,10,31,6,1,,,5,4,1,,,,,,,,,,,,
7B,7/20/22,OB,37,43,38,45,1,,,15,13,2,,,,,,,,,,,,
7B,7/20/22,OB,44,43,46,6,1,,,26,13,13,,,,,,,,,,,,
7B,7/20/22,OB,52,28,54,9,1,,,37,30,7,,,,,,,,,,,,
7B,7/20/22,OP-a,30,58,31,55,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OP-a,42,58,43,56,1,,,6,2,4,,,,,,,,,,,,
7B,7/20/22,OP-a,48,40,49,34,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OP-a,53,46,54,28,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,OP-a,59,6,60,9,1,,,9,1,4,4,,,,,,,,,,,
7B,7/20/22,OW,30,2,30,57,0,,,0,,,,,,,,,,,,,,
