,,#NAME?,,,,Dances,222,40,,4459,,,,,,,,,,,,,,
Colony,Date,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
7B,7/18/22,GF,50,53,53,3,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,GF,56,47,57,54,0,losing green mark,,0,,,,,,,,,,,,,,
7B,7/18/22,GGW,17,38,19,32,0,excited running but no clear waggle/circuit,3,0,,,,,,,,,,,,,,
7B,7/18/22,GGW,32,58,33,56,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,GGW,37,54,39,3,1,,,8,5,3,,,,,,,,,,,,
7B,7/18/22,GGW,43,29,44,55,1,,,22,21,1,,,,,,,,,,,,
7B,7/18/22,GGW,49,1,50,53,0,,,46,12,7,10,5,12,,,,,,,,,
7B,7/18/22,GGW,53,39,55,11,1,,1,29,1,6,4,4,12,2,,,,,,,,
7B,7/18/22,GGW,58,59,61,22,1,,,56,7,15,34,,,,,,,,,,,
7B,7/18/22,GO,18,11,20,18,1,pretty clean dance but she kept getting interrupted by other bees,,36,17,4,10,5,,,,,,,,,,
7B,7/18/22,GO,23,7,25,32,1,,,53,1,1,21,11,17,2,,,,,,,,
7B,7/18/22,GO,28,13,30,0,1,flips over on glass repeatedly and bout of dancing is on glass,1,16,16,,,,,,,,,,,,,
7B,7/18/22,GO,32,47,34,39,1,,,28,28,,,,,,,,,,,,,
7B,7/18/22,GO,37,40,38,41,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,GO,41,33,43,38,1,,,52,52,,,,,,,,,,,,,
7B,7/18/22,GO,46,24,49,37,1,,,81,3,8,14,20,14,11,11,,,,,,,
7B,7/18/22,GO,53,22,54,43,1,,,21,21,,,,,,,,,,,,,
7B,7/18/22,GO,57,44,59,34,1,"no GO in doc, but clearly marked GO- yes, she definitely came to the Peppermint feeder- I added your photo to the ID doc",,44,2,5,5,32,,,,,,,,,,
7B,7/18/22,GP-a,20,42,21,37,1,,2,5,1,4,,,,,,,,,,,,
7B,7/18/22,GP-a,24,20,29,19,1,,2,4,4,,,,,,,,,,,,,
7B,7/18/22,GP-a,35,34,36,36,1,,,7,7,,,,,,,,,,,,,
7B,7/18/22,GP-a,38,55,40,1,1,,,7,7,,,,,,,,,,,,,
7B,7/18/22,GP-a,42,44,43,31,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,GP-a,46,16,47,48,1,,,20,3,17,,,,,,,,,,,,
7B,7/18/22,GP-a,50,12,51,54,1,,,24,24,,,,,,,,,,,,,
7B,7/18/22,GP-a,54,21,55,13,1,,,6,6,,,,,,,,,,,,,
7B,7/18/22,GP-a,57,51,58,41,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,GP,48,42,53,20,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,GR,41,46,42,53,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,GR,47,19,48,33,1,,,9,9,,,,,,,,,,,,,
7B,7/18/22,GR,52,2,53,14,0,,,0,,,,,,,,,,,,,,
7B,7/18/22,GR,57,25,59,12,1,,,23,2,21,,,,,,,,,,,,
7B,7/18/22,GY,36,49,,,,disappears on left side of frame at 39:25,,0,,,,,,,,,,,,,,
7B,7/18/22,GY,41,,,,,came from farther inside hive,,,,,,,,,,,,,,,,
