"Colony","Date","Bee","Entrance_minute","Entrance_second","Danced","Bout_1","Bout_2","Bout_3","Bout_4","Bout_5","Bout_6","Bout_7","Bout_8","Bout_9","Bout_10","Bout_11","Bout_12","Bout_13","Bout_14","Decimal_entrance_time","Total_runs","Decimal_time","Duration","Scent","Site","Density","Flower_number"
"7B","7/19/22","RO_7B",6,59,1,1,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.98333333333333,9,5,55,"Peppermint","Northeast","High","High"
"7B","7/19/22","RO_7B",21,36,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6,6,5,55,"Peppermint","Northeast","High","High"
"7B","7/19/22","RO_7B",24,48,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8,3,5,55,"Peppermint","Northeast","High","High"
"7B","7/19/22","RO_7B",30,16,1,15,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2666666666667,23,5,55,"Peppermint","Northeast","High","High"
"7B","7/19/22","RO_7B",36,28,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4666666666667,16,5,55,"Peppermint","Northeast","High","High"
"7B","7/19/22","RO_7B",39,50,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8333333333333,35,5,55,"Peppermint","Northeast","High","High"
"7B","7/19/22","RO_7B",43,59,1,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.9833333333333,31,5,55,"Peppermint","Northeast","High","High"
"7B","7/19/22","RO_7B",48,28,1,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4666666666667,14,5,55,"Peppermint","Northeast","High","High"
"7B","7/19/22","RO_7B",52,20,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3333333333333,12,5,55,"Peppermint","Northeast","High","High"
"7B","7/19/22","RO_7B",58,40,1,1,32,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.6666666666667,41,5,55,"Peppermint","Northeast","High","High"
"7B","7/19/22","WGG_7B",28,42,1,1,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,11,12,48,"Clove","South","High","Low"
"7B","7/19/22","WGG_7B",32,51,1,2,2,2,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.85,19,12,48,"Clove","South","High","Low"
"7B","7/19/22","WGG_7B",37,30,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,3,12,48,"Clove","South","High","Low"
"7B","7/19/22","WGG_7B",45,9,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.15,12,12,48,"Clove","South","High","Low"
"7B","7/19/22","WGG_7B",49,17,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2833333333333,6,12,48,"Clove","South","High","Low"
"7B","7/19/22","WGG_7B",53,3,1,2,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.05,23,12,48,"Clove","South","High","Low"
"7B","7/19/22","WGG_7B",57,14,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.2333333333333,1,12,48,"Clove","South","High","Low"
"7B","7/19/22","WGR_7B",8,30,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,5,6,54,"Peppermint","Northeast","High","High"
"7B","7/19/22","WGR_7B",51,24,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.4,5,6,54,"Peppermint","Northeast","High","High"
"7B","7/19/22","WGR_7B",59,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.0833333333333,3,6,54,"Peppermint","Northeast","High","High"
"7B","7/19/22","PO_7B",55,12,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.2,2,9,51,"Clove","South","High","Low"
"7B","7/19/22","WOO_7B",27,59,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9833333333333,7,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","WOO_7B",31,13,1,9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2166666666667,23,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","WOO_7B",35,51,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.85,5,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","WOO_7B",38,58,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9666666666667,5,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","WOO_7B",46,54,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.9,18,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","WOO_7B",51,16,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2666666666667,1,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","WOY_7B",16,47,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7833333333333,2,10,50,"Peppermint","Northeast","High","High"
"7B","7/19/22","WOY_7B",52,10,1,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1666666666667,14,10,50,"Peppermint","Northeast","High","High"
"7B","7/19/22","WOY_7B",56,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1666666666667,1,10,50,"Peppermint","Northeast","High","High"
"7B","7/19/22","WR.a_7B",41,13,1,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2166666666667,29,2,58,"Peppermint","Northeast","High","High"
"7B","7/19/22","WR.a_7B",45,12,1,4,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2,31,2,58,"Peppermint","Northeast","High","High"
