"Colony","Date","Bee","Entrance_minute","Entrance_second","Danced","Decimal_entrance_time","Total_runs","Trial","Day","Scent","Treatment","Setup","Site","Density","Flower_number","Array_time","Duration"
"7B","7/20/22","PO_7B",58,41,0,58.6833333333333,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",6,54
"7B","7/20/22","PO.a_7B",19,16,0,19.2666666666667,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",9,51
"7B","7/20/22","PO.a_7B",32,18,0,32.3,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",9,51
"7B","7/20/22","PO.a_7B",36,15,0,36.25,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",9,51
"7B","7/20/22","PO.a_7B",40,58,0,40.9666666666667,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",9,51
"7B","7/20/22","PO.a_7B",45,10,0,45.1666666666667,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",9,51
"7B","7/20/22","PO.a_7B",49,18,0,49.3,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",9,51
"7B","7/20/22","PO.a_7B",53,32,0,53.5333333333333,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",9,51
"7B","7/20/22","PO.a_7B",57,25,0,57.4166666666667,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",9,51
"7B","7/20/22","PO.a_7B",14,26,0,14.4333333333333,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",9,51
"7B","7/20/22","POO_7B",14,12,0,14.2,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","POO_7B",19,9,0,19.15,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","POO_7B",24,28,0,24.4666666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","POO_7B",30,3,0,30.05,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","POO_7B",35,27,0,35.45,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
