"Colony","Date","Bee","Entrance_minute","Entrance_second","Danced","Decimal_entrance_time","Total_runs","Trial","Day","Scent","Treatment","Setup","Site","Density","Flower_number","Array_time","Duration"
"7B","7/18/22","PF.big_7B",36,25,0,36.4166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",4,56
"7B","7/18/22","PF.big_7B",43,48,1,43.8,25,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",4,56
"7B","7/18/22","PF.big_7B",54,40,1,54.6666666666667,35,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",4,56
"7B","7/18/22","PG_7B",11,45,1,11.75,1,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PG_7B",31,30,0,31.5,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PG_7B",34,34,0,34.5666666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PG_7B",37,31,0,37.5166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PG_7B",40,35,0,40.5833333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PG_7B",43,8,1,43.1333333333333,8,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PG_7B",49,14,1,49.2333333333333,4,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PG_7B",52,21,1,52.35,2,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PG_7B",55,35,1,55.5833333333333,11,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PG_7B",59,1,0,59.0166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PGG_7B",11,13,1,11.2166666666667,12,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PGG_7B",33,38,0,33.6333333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PGG_7B",37,30,0,37.5,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PGG_7B",41,11,0,41.1833333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PGG_7B",44,50,0,44.8333333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PGG_7B",48,46,1,48.7666666666667,12,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PGG_7B",52,10,0,52.1666666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PO_7B",36,13,0,36.2166666666667,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/18/22","PO_7B",41,0,0,41,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/18/22","PO_7B",45,3,0,45.05,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/18/22","PO_7B",48,36,0,48.6,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/18/22","PO_7B",52,40,0,52.6666666666667,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/18/22","PO.a_7B",32,51,0,32.85,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",8,52
"7B","7/18/22","PO.a_7B",37,9,0,37.15,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",8,52
"7B","7/18/22","PO.a_7B",40,39,0,40.65,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",8,52
"7B","7/18/22","PO.a_7B",47,6,0,47.1,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",8,52
"7B","7/18/22","PO.a_7B",50,23,0,50.3833333333333,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",8,52
"7B","7/18/22","PO.a_7B",53,46,0,53.7666666666667,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",8,52
"7B","7/18/22","PO.a_7B",57,27,0,57.45,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",8,52
"7B","7/18/22","POO_7B",32,1,0,32.0166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","POO_7B",35,32,0,35.5333333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","POO_7B",38,48,0,38.8,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","POO_7B",41,53,0,41.8833333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","POO_7B",45,1,0,45.0166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","POO_7B",48,6,0,48.1,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","POO_7B",51,18,0,51.3,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","POO_7B",54,28,0,54.4666666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","PR_7B",18,27,0,18.45,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",6,54
"7B","7/18/22","PR_7B",34,8,0,34.1333333333333,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",6,54
"7B","7/18/22","PR_7B",37,21,0,37.35,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",6,54
"7B","7/18/22","PR_7B",43,49,1,43.8166666666667,26,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",6,54
"7B","7/18/22","PR_7B",47,31,0,47.5166666666667,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",6,54
"7B","7/18/22","PR_7B",50,48,0,50.8,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",6,54
"7B","7/18/22","PR_7B",54,40,0,54.6666666666667,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",6,54
"7B","7/18/22","PR_7B",59,7,0,59.1166666666667,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",6,54
"7B","7/18/22","PRR_7B",12,31,0,12.5166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",10,50
"7B","7/18/22","PRR_7B",31,10,0,31.1666666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",10,50
"7B","7/18/22","PRR_7B",35,1,0,35.0166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",10,50
"7B","7/18/22","PRR_7B",38,19,0,38.3166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",10,50
"7B","7/18/22","PRR_7B",41,46,0,41.7666666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",10,50
"7B","7/18/22","PRR_7B",44,59,0,44.9833333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",10,50
"7B","7/18/22","PRR_7B",48,31,0,48.5166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",10,50
"7B","7/18/22","PRR_7B",51,36,0,51.6,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",10,50
"7B","7/18/22","PRR_7B",55,2,0,55.0333333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",10,50
"7B","7/18/22","PRR_7B",58,12,0,58.2,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",10,50
"7B","7/18/22","PY.u_7B",41,59,0,41.9833333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",12,48
"7B","7/18/22","PY.u_7B",9,32,1,9.53333333333333,14,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",12,48
"7B","7/18/22","PY.u_7B",14,28,1,14.4666666666667,1,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",12,48
"7B","7/18/22","PY.u_7B",18,24,1,18.4,5,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",12,48
"7B","7/18/22","PY.u_7B",22,41,1,22.6833333333333,17,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",12,48
"7B","7/18/22","PY.u_7B",26,49,1,26.8166666666667,39,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",12,48
"7B","7/18/22","PY.u_7B",31,22,1,31.3666666666667,2,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",12,48
"7B","7/18/22","PY.u_7B",34,45,1,34.75,5,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",12,48
"7B","7/18/22","PY.u_7B",38,43,0,38.7166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",12,48
"7B","7/18/22","PY.u_7B",45,0,1,45,13,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",12,48
"7B","7/18/22","PY.u_7B",48,29,1,48.4833333333333,7,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",12,48
"7B","7/18/22","PY.u_7B",51,47,1,51.7833333333333,2,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",12,48
"7B","7/18/22","PY.u_7B",59,7,0,59.1166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",12,48
"7B","7/18/22","PY.v_7B",47,6,0,47.1,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",41,19
"7B","7/18/22","PY.v_7B",51,35,0,51.5833333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",41,19
"7B","7/18/22","PY.v_7B",55,54,0,55.9,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",41,19
"7B","7/18/22","PY.a_7B",33,17,0,33.2833333333333,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
"7B","7/18/22","PY.a_7B",37,44,0,37.7333333333333,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
"7B","7/18/22","PY.a_7B",42,10,0,42.1666666666667,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
"7B","7/18/22","PY.a_7B",46,33,0,46.55,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
"7B","7/18/22","PY.a_7B",50,52,0,50.8666666666667,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
"7B","7/18/22","PY.a_7B",54,19,0,54.3166666666667,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
"7B","7/18/22","PY.a_7B",58,25,0,58.4166666666667,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
"7B","7/18/22","PYY_7B",11,22,0,11.3666666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PYY_7B",19,49,0,19.8166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PYY_7B",31,8,0,31.1333333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PYY_7B",34,43,0,34.7166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PYY_7B",38,27,0,38.45,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PYY_7B",41,59,0,41.9833333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PYY_7B",45,21,0,45.35,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PYY_7B",49,5,0,49.0833333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PYY_7B",52,6,1,52.1,17,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","PYY_7B",55,52,1,55.8666666666667,8,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",15,45
"7B","7/18/22","RB_7B",32,22,1,32.3666666666667,2,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","RB_7B",36,19,1,36.3166666666667,11,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","RB_7B",40,10,1,40.1666666666667,1,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","RB_7B",43,30,1,43.5,9,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","RB_7B",48,2,0,48.0333333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","RF_7B",8,11,1,8.18333333333333,4,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","RF_7B",20,27,1,20.45,6,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","RF_7B",24,55,0,24.9166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","RF_7B",28,46,0,28.7666666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","RF_7B",33,45,0,33.75,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","RF_7B",37,18,0,37.3,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","RF_7B",40,56,1,40.9333333333333,5,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","RF_7B",44,29,0,44.4833333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","RF_7B",47,55,1,47.9166666666667,13,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","RF_7B",51,34,1,51.5666666666667,18,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","RF_7B",55,39,1,55.65,5,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","RF_7B",59,24,1,59.4,14,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","RO_7B",21,34,1,21.5666666666667,3,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","RO_7B",24,55,1,24.9166666666667,2,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","RO_7B",28,6,1,28.1,17,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","RO_7B",31,59,1,31.9833333333333,39,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","RO_7B",37,11,0,37.1833333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","RO_7B",43,14,1,43.2333333333333,24,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","RO_7B",46,56,0,46.9333333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","RO_7B",50,8,0,50.1333333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","RO_7B",53,10,0,53.1666666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","RO_7B",59,2,0,59.0333333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","ROG_7B",40,14,0,40.2333333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",16,44
"7B","7/18/22","RW.a_7B",27,47,0,27.7833333333333,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/18/22","RW.a_7B",35,41,0,35.6833333333333,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/18/22","RW.a_7B",40,48,0,40.8,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/18/22","RW.a_7B",51,49,0,51.8166666666667,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/18/22","RWR_7B",36,15,0,36.25,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","RWR_7B",43,54,0,43.9,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","RWR_7B",49,13,0,49.2166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","RWR_7B",55,10,0,55.1666666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","RWR_7B",59,6,1,59.1,11,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","WGG_7B",24,39,0,24.65,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",16,44
"7B","7/18/22","WGG_7B",31,33,0,31.55,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",16,44
"7B","7/18/22","WGG_7B",36,12,0,36.2,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",16,44
"7B","7/18/22","WGG_7B",40,19,0,40.3166666666667,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",16,44
"7B","7/18/22","WGG_7B",45,27,0,45.45,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",16,44
"7B","7/18/22","WGG_7B",49,39,0,49.65,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",16,44
"7B","7/18/22","WGG_7B",54,12,0,54.2,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",16,44
"7B","7/18/22","WGG_7B",57,50,0,57.8333333333333,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",16,44
"7B","7/18/22","WGR_7B",9,29,0,9.48333333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","WGR_7B",13,40,1,13.6666666666667,12,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","WGR_7B",18,9,1,18.15,8,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","WGR_7B",22,38,1,22.6333333333333,1,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","WGR_7B",26,21,0,26.35,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","WGR_7B",29,59,1,29.9833333333333,13,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","WGR_7B",34,16,1,34.2666666666667,18,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","WGR_7B",38,34,0,38.5666666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","WGR_7B",42,32,0,42.5333333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","WGR_7B",46,13,1,46.2166666666667,7,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","WGR_7B",50,16,1,50.2666666666667,9,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","WGR_7B",53,58,1,53.9666666666667,18,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","WGR_7B",58,23,0,58.3833333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",7,53
"7B","7/18/22","PO_7B",57,3,0,57.05,0,"Trial 2",1,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/18/22","WOO_7B",7,32,0,7.53333333333333,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","WOO_7B",11,49,1,11.8166666666667,1,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","WOO_7B",14,52,1,14.8666666666667,8,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","WOO_7B",19,18,1,19.3,11,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","WOO_7B",23,1,0,23.0166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","WOO_7B",30,16,1,30.2666666666667,10,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","WOO_7B",33,55,1,33.9166666666667,2,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","WOO_7B",37,24,1,37.4,11,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","WOO_7B",41,15,0,41.25,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","WOO_7B",44,31,1,44.5166666666667,24,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","WOO_7B",48,39,1,48.65,11,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","WOO_7B",52,16,1,52.2666666666667,20,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","WOO_7B",55,54,1,55.9,9,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",6,54
"7B","7/18/22","WOY_7B",5,15,0,5.25,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","WOY_7B",9,35,1,9.58333333333333,22,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","WOY_7B",12,56,1,12.9333333333333,29,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","WOY_7B",20,51,1,20.85,25,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","WOY_7B",31,23,1,31.3833333333333,24,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","WOY_7B",35,9,1,35.15,24,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","WOY_7B",39,17,1,39.2833333333333,14,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","WOY_7B",46,48,1,46.8,6,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","WOY_7B",50,4,1,50.0666666666667,10,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","WOY_7B",53,21,1,53.35,4,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","WOY_7B",56,49,1,56.8166666666667,11,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",8,52
"7B","7/18/22","WR.a_7B",13,31,0,13.5166666666667,0,"Trial 2",1,"Peppermint","Changing","Density: High, Number of flowers: Low","Northeast","High","Low",12,48
